competencia,territorio,populacao_estimada,chamados,tempo_medio_h,chuva_mm,temperatura_c,cobertura_servico_pct,nivel_pressao,origem
2024-08-01,Jardins,10510,28,31.28,52.65,22.5,84.36,Baixo,SINTETICO_DEMONSTRACAO
2024-09-01,Jardins,10510,27,31.0,94.18,21.66,87.22,Baixo,SINTETICO_DEMONSTRACAO
2024-10-01,Jardins,10510,25,30.47,75.06,18.22,83.45,Baixo,SINTETICO_DEMONSTRACAO
2024-11-01,Jardins,10510,30,25.19,67.28,17.87,85.81,Baixo,SINTETICO_DEMONSTRACAO
2024-12-01,Jardins,10510,28,36.39,39.02,18.45,77.5,Moderado,SINTETICO_DEMONSTRACAO
2025-01-01,Jardins,10510,24,24.03,70.47,19.09,76.29,Baixo,SINTETICO_DEMONSTRACAO
2025-02-01,Jardins,10510,31,30.16,192.99,23.01,92.35,Baixo,SINTETICO_DEMONSTRACAO
2025-03-01,Jardins,10510,25,31.83,179.94,23.64,82.37,Baixo,SINTETICO_DEMONSTRACAO
2025-04-01,Jardins,10510,29,30.96,169.77,27.57,87.57,Baixo,SINTETICO_DEMONSTRACAO
2025-05-01,Jardins,10510,34,33.64,183.91,26.55,80.91,Moderado,SINTETICO_DEMONSTRACAO
2025-06-01,Jardins,10510,32,37.41,164.46,27.17,82.51,Moderado,SINTETICO_DEMONSTRACAO
2025-07-01,Jardins,10510,22,29.78,83.4,24.36,77.62,Baixo,SINTETICO_DEMONSTRACAO
2025-08-01,Jardins,10510,25,33.49,49.69,23.24,80.04,Baixo,SINTETICO_DEMONSTRACAO
2025-09-01,Jardins,10510,29,28.67,60.3,20.01,78.06,Baixo,SINTETICO_DEMONSTRACAO
2025-10-01,Jardins,10510,21,29.95,19.11,18.14,91.0,Baixo,SINTETICO_DEMONSTRACAO
2025-11-01,Jardins,10510,30,37.21,33.58,19.03,84.75,Moderado,SINTETICO_DEMONSTRACAO
2025-12-01,Jardins,10510,26,34.52,54.83,18.09,85.66,Baixo,SINTETICO_DEMONSTRACAO
2024-01-01,Lago Norte,11968,33,41.88,116.73,18.56,54.47,Moderado,SINTETICO_DEMONSTRACAO
2024-02-01,Lago Norte,11968,34,44.98,146.63,22.83,65.55,Moderado,SINTETICO_DEMONSTRACAO
2024-03-01,Lago Norte,11968,43,46.31,159.33,24.85,50.61,Alto,SINTETICO_DEMONSTRACAO
2024-04-01,Lago Norte,11968,42,48.3,226.95,26.02,61.77,Alto,SINTETICO_DEMONSTRACAO
2024-05-01,Lago Norte,11968,37,44.54,205.94,27.71,58.24,Alto,SINTETICO_DEMONSTRACAO
2024-06-01,Lago Norte,11968,38,46.41,180.75,25.61,44.47,Alto,SINTETICO_DEMONSTRACAO
2024-07-01,Lago Norte,11968,39,49.9,126.67,25.07,58.44,Alto,SINTETICO_DEMONSTRACAO
2024-08-01,Lago Norte,11968,26,31.12,76.41,22.01,71.37,Baixo,SINTETICO_DEMONSTRACAO
2024-09-01,Lago Norte,11968,37,41.52,75.07,22.12,47.86,Alto,SINTETICO_DEMONSTRACAO
2024-10-01,Lago Norte,11968,41,49.3,21.89,18.15,59.17,Alto,SINTETICO_DEMONSTRACAO
2024-11-01,Lago Norte,11968,33,40.13,8,18.61,56.41,Moderado,SINTETICO_DEMONSTRACAO
2024-12-01,Lago Norte,11968,29,48.93,68.69,19.78,63.18,Moderado,SINTETICO_DEMONSTRACAO
2025-01-01,Lago Norte,11968,34,43.52,142.52,21.78,51.06,Moderado,SINTETICO_DEMONSTRACAO
2025-02-01,Lago Norte,11968,46,40.44,182.44,21.26,59.65,Alto,SINTETICO_DEMONSTRACAO
2025-03-01,Lago Norte,11968,36,46.69,175.56,26.17,51.66,Alto,SINTETICO_DEMONSTRACAO
2025-04-01,Lago Norte,11968,39,45.77,192.14,26.56,65.13,Alto,SINTETICO_DEMONSTRACAO
2025-05-01,Lago Norte,11968,42,47.69,187.45,26.74,51.61,Alto,SINTETICO_DEMONSTRACAO
2025-06-01,Lago Norte,11968,34,44.62,171.43,25.64,50.49,Moderado,SINTETICO_DEMONSTRACAO
2025-07-01,Lago Norte,11968,35,47.02,149.4,23.63,52.8,Alto,SINTETICO_DEMONSTRACAO
2025-08-01,Lago Norte,11968,41,42.8,64.63,20.83,56.0,Alto,SINTETICO_DEMONSTRACAO
2025-09-01,Lago Norte,11968,41,44.07,55.93,20.71,55.06,Alto,SINTETICO_DEMONSTRACAO
2025-10-01,Lago Norte,11968,28,27.03,25.35,20.16,63.38,Baixo,SINTETICO_DEMONSTRACAO
2025-11-01,Lago Norte,11968,32,36.57,18.31,18.3,59.25,Moderado,SINTETICO_DEMONSTRACAO
2025-12-01,Lago Norte,11968,42,45.0,82.04,18.86,60.19,Alto,SINTETICO_DEMONSTRACAO
2024-01-01,Mercado,13239,30,31.06,111.15,20.27,65.86,Baixo,SINTETICO_DEMONSTRACAO
2024-02-01,Mercado,13239,34,40.25,138.79,23.16,70.39,Moderado,SINTETICO_DEMONSTRACAO
2024-03-01,Mercado,13239,30,32.24,209.55,24.58,70.18,Baixo,SINTETICO_DEMONSTRACAO
2024-04-01,Mercado,13239,43,49.7,201.22,25.89,67.12,Alto,SINTETICO_DEMONSTRACAO
2024-05-01,Mercado,13239,44,50.3,153.6,26.75,58.15,Alto,SINTETICO_DEMONSTRACAO
2024-06-01,Mercado,13239,40,36.06,158.16,26.13,67.48,Moderado,SINTETICO_DEMONSTRACAO
2024-07-01,Mercado,13239,33,43.25,115.48,24.55,68.79,Moderado,SINTETICO_DEMONSTRACAO
2024-08-01,Mercado,13239,36,42.81,82.88,21.49,60.91,Moderado,SINTETICO_DEMONSTRACAO
2024-09-01,Mercado,13239,43,46.11,42.74,21.03,62.56,Alto,SINTETICO_DEMONSTRACAO
2024-10-01,Mercado,13239,34,38.03,33.51,17.39,58.47,Moderado,SINTETICO_DEMONSTRACAO
2024-11-01,Mercado,13239,43,53.66,66.43,18.41,66.52,Alto,SINTETICO_DEMONSTRACAO
2024-12-01,Mercado,13239,40,43.53,108.88,18.45,62.69,Moderado,SINTETICO_DEMONSTRACAO
2025-01-01,Mercado,13239,39,42.64,108.7,19.2,59.38,Moderado,SINTETICO_DEMONSTRACAO
2025-02-01,Mercado,13239,38,39.65,159.3,23.09,71.3,Moderado,SINTETICO_DEMONSTRACAO
2025-03-01,Mercado,13239,38,43.22,220.3,25.48,67.78,Moderado,SINTETICO_DEMONSTRACAO
2025-04-01,Mercado,13239,43,42.09,180.14,28.07,65.13,Moderado,SINTETICO_DEMONSTRACAO
2025-05-01,Mercado,13239,42,43.56,162.4,24.67,59.57,Alto,SINTETICO_DEMONSTRACAO
2025-06-01,Mercado,13239,46,39.01,188.43,24.14,73.1,Moderado,SINTETICO_DEMONSTRACAO
2025-07-01,Mercado,13239,33,36.93,116.52,25.78,68.18,Moderado,SINTETICO_DEMONSTRACAO
2025-08-01,Mercado,13239,44,47.3,96.65,23.51,62.46,Alto,SINTETICO_DEMONSTRACAO
2025-09-01,Mercado,13239,33,42.44,36.69,19.84,67.53,Moderado,SINTETICO_DEMONSTRACAO
2025-10-01,Mercado,13239,40,48.52,28.73,20.73,70.69,Moderado,SINTETICO_DEMONSTRACAO
2025-11-01,Mercado,13239,25,38.14,56.2,18.36,74.12,Baixo,SINTETICO_DEMONSTRACAO
2025-12-01,Mercado,13239,34,39.79,91.38,18.7,71.96,Moderado,SINTETICO_DEMONSTRACAO
2024-01-01,Nova Esperança,14236,42,43.85,141.13,18.5,68.82,Moderado,SINTETICO_DEMONSTRACAO
2024-02-01,Nova Esperança,14236,43,47.82,119.58,22.73,71.03,Moderado,SINTETICO_DEMONSTRACAO
2024-03-01,Nova Esperança,14236,39,47.04,252.8,22.62,71.89,Moderado,SINTETICO_DEMONSTRACAO
2024-04-01,Nova Esperança,14236,40,35.74,215.08,27.04,68.11,Moderado,SINTETICO_DEMONSTRACAO
2024-05-01,Nova Esperança,14236,46,50.69,223.62,27.31,70.7,Alto,SINTETICO_DEMONSTRACAO
2024-06-01,Nova Esperança,14236,42,46.66,177.46,24.19,68.43,Moderado,SINTETICO_DEMONSTRACAO
2024-07-01,Nova Esperança,14236,47,50.81,136.06,23.39,72.64,Alto,SINTETICO_DEMONSTRACAO
2024-08-01,Nova Esperança,14236,43,44.98,93.15,22.48,75.84,Moderado,SINTETICO_DEMONSTRACAO
2024-09-01,Nova Esperança,14236,39,38.83,70.91,19.35,74.95,Moderado,SINTETICO_DEMONSTRACAO
2024-10-01,Nova Esperança,14236,36,48.73,57.16,18.05,67.97,Moderado,SINTETICO_DEMONSTRACAO
2024-11-01,Nova Esperança,14236,36,36.23,50.79,19.42,68.34,Moderado,SINTETICO_DEMONSTRACAO
2024-12-01,Nova Esperança,14236,41,43.07,61.44,19.87,71.81,Moderado,SINTETICO_DEMONSTRACAO
2025-01-01,Nova Esperança,14236,32,43.18,110.65,21.93,68.76,Moderado,SINTETICO_DEMONSTRACAO
2025-02-01,Nova Esperança,14236,38,48.62,165.11,19.9,72.22,Moderado,SINTETICO_DEMONSTRACAO
2025-03-01,Nova Esperança,14236,37,39.02,169.98,23.9,67.45,Moderado,SINTETICO_DEMONSTRACAO
2025-04-01,Nova Esperança,14236,35,34.81,165.41,24.9,63.97,Moderado,SINTETICO_DEMONSTRACAO
2025-05-01,Nova Esperança,14236,43,46.25,174.55,25.88,65.87,Moderado,SINTETICO_DEMONSTRACAO
2025-06-01,Nova Esperança,14236,38,42.07,146.5,25.58,79.96,Moderado,SINTETICO_DEMONSTRACAO
2025-07-01,Nova Esperança,14236,36,43.8,58.11,23.82,61.14,Moderado,SINTETICO_DEMONSTRACAO
2025-08-01,Nova Esperança,14236,39,37.16,59.17,23.12,66.89,Moderado,SINTETICO_DEMONSTRACAO
2025-09-01,Nova Esperança,14236,34,46.05,38.23,20.9,74.68,Moderado,SINTETICO_DEMONSTRACAO
2025-10-01,Nova Esperança,14236,44,47.15,23.88,18.32,58.2,Alto,SINTETICO_DEMONSTRACAO
2025-11-01,Nova Esperança,14236,33,31.17,18.11,19.89,78.18,Baixo,SINTETICO_DEMONSTRACAO
2025-12-01,Nova Esperança,14236,42,37.14,83.22,18.12,66.15,Moderado,SINTETICO_DEMONSTRACAO
2024-01-01,Parque Sul,15260,33,35.83,103.7,19.19,70.25,Baixo,SINTETICO_DEMONSTRACAO
2024-02-01,Parque Sul,15260,36,41.37,182.64,21.48,73.32,Baixo,SINTETICO_DEMONSTRACAO
2024-03-01,Parque Sul,15260,41,44.25,179.53,24.12,80.32,Moderado,SINTETICO_DEMONSTRACAO
2024-04-01,Parque Sul,15260,38,41.66,196.72,26.28,85.18,Baixo,SINTETICO_DEMONSTRACAO
2024-05-01,Parque Sul,15260,43,43.95,218.28,26.12,72.56,Moderado,SINTETICO_DEMONSTRACAO
2024-06-01,Parque Sul,15260,33,31.95,110.7,24.86,71.17,Baixo,SINTETICO_DEMONSTRACAO
2024-07-01,Parque Sul,15260,42,43.35,108.74,26.41,80.11,Moderado,SINTETICO_DEMONSTRACAO
2024-08-01,Parque Sul,15260,42,40.01,94.8,23.64,78.43,Moderado,SINTETICO_DEMONSTRACAO
2024-09-01,Parque Sul,15260,32,34.55,60.4,20.76,90.96,Baixo,SINTETICO_DEMONSTRACAO
2024-10-01,Parque Sul,15260,34,35.92,24.38,19.27,85.94,Baixo,SINTETICO_DEMONSTRACAO
2024-11-01,Parque Sul,15260,31,37.61,10.95,21.41,79.78,Baixo,SINTETICO_DEMONSTRACAO
2024-12-01,Parque Sul,15260,37,47.39,49.48,16.98,74.27,Moderado,SINTETICO_DEMONSTRACAO
2025-01-01,Parque Sul,15260,50,54.43,122.12,18.83,76.55,Alto,SINTETICO_DEMONSTRACAO
2025-02-01,Parque Sul,15260,42,42.08,153.85,22.67,76.7,Moderado,SINTETICO_DEMONSTRACAO
2025-03-01,Parque Sul,15260,40,41.73,161.63,26.24,78.24,Moderado,SINTETICO_DEMONSTRACAO
2025-04-01,Parque Sul,15260,46,47.58,208.4,25.62,80.17,Moderado,SINTETICO_DEMONSTRACAO
2025-05-01,Parque Sul,15260,42,39.04,166.9,27.93,75.62,Moderado,SINTETICO_DEMONSTRACAO
2025-06-01,Parque Sul,15260,38,46.55,132.53,27.62,75.02,Moderado,SINTETICO_DEMONSTRACAO
2025-07-01,Parque Sul,15260,38,44.69,193.18,25.45,82.03,Moderado,SINTETICO_DEMONSTRACAO
2025-08-01,Parque Sul,15260,36,40.24,95.79,20.09,82.72,Baixo,SINTETICO_DEMONSTRACAO
2025-09-01,Parque Sul,15260,34,34.8,65.59,21.6,72.22,Baixo,SINTETICO_DEMONSTRACAO
2025-10-01,Parque Sul,15260,28,35.08,53.19,18.47,84.7,Baixo,SINTETICO_DEMONSTRACAO
2025-11-01,Parque Sul,15260,32,37.98,68.13,19.45,83.55,Baixo,SINTETICO_DEMONSTRACAO
2025-12-01,Parque Sul,15260,38,37.42,56.55,19.81,75.66,Baixo,SINTETICO_DEMONSTRACAO
2024-01-01,Pioneiros,16497,49,45.26,107.71,21.36,85.62,Moderado,SINTETICO_DEMONSTRACAO
2024-02-01,Pioneiros,16497,34,38.67,132.99,22.93,87.15,Baixo,SINTETICO_DEMONSTRACAO
2024-03-01,Pioneiros,16497,43,34.89,177.92,25.05,97.65,Baixo,SINTETICO_DEMONSTRACAO
2024-04-01,Pioneiros,16497,45,41.52,184.62,24.07,91.41,Moderado,SINTETICO_DEMONSTRACAO
2024-05-01,Pioneiros,16497,46,48.76,192.19,26.5,84.99,Moderado,SINTETICO_DEMONSTRACAO
2024-06-01,Pioneiros,16497,43,38.68,171.86,26.91,90.74,Baixo,SINTETICO_DEMONSTRACAO
2024-07-01,Pioneiros,16497,42,37.39,104.8,24.39,85.36,Baixo,SINTETICO_DEMONSTRACAO
2024-08-01,Pioneiros,16497,37,35.07,86.16,22.68,79.07,Baixo,SINTETICO_DEMONSTRACAO
2024-09-01,Pioneiros,16497,34,35.23,19.03,19.29,85.58,Baixo,SINTETICO_DEMONSTRACAO
2024-10-01,Pioneiros,16497,39,42.18,69.9,19.85,83.8,Baixo,SINTETICO_DEMONSTRACAO
2024-11-01,Pioneiros,16497,26,34.65,39.39,17.92,85.24,Baixo,SINTETICO_DEMONSTRACAO
2024-12-01,Pioneiros,16497,39,41.9,88.75,17.92,89.86,Baixo,SINTETICO_DEMONSTRACAO
2025-01-01,Pioneiros,16497,35,42.23,91.39,22.95,77.47,Baixo,SINTETICO_DEMONSTRACAO
2025-02-01,Pioneiros,16497,38,40.37,186.57,22.97,86.63,Baixo,SINTETICO_DEMONSTRACAO
2025-03-01,Pioneiros,16497,46,43.44,168.22,23.83,87.29,Moderado,SINTETICO_DEMONSTRACAO
2025-04-01,Pioneiros,16497,41,41.75,205.82,25.44,79.97,Moderado,SINTETICO_DEMONSTRACAO
2025-05-01,Pioneiros,16497,43,48.45,197.71,30.1,89.18,Moderado,SINTETICO_DEMONSTRACAO
2025-06-01,Pioneiros,16497,45,48.05,143.35,26.23,81.88,Moderado,SINTETICO_DEMONSTRACAO
2025-07-01,Pioneiros,16497,39,34.87,104.51,24.87,82.46,Baixo,SINTETICO_DEMONSTRACAO
2025-08-01,Pioneiros,16497,36,32.54,62.22,21.77,89.99,Baixo,SINTETICO_DEMONSTRACAO
2025-09-01,Pioneiros,16497,40,36.13,35.41,20.52,83.96,Baixo,SINTETICO_DEMONSTRACAO
2025-10-01,Pioneiros,16497,38,37.56,50.77,18.56,90.94,Baixo,SINTETICO_DEMONSTRACAO
2025-11-01,Pioneiros,16497,34,34.73,67.1,17.87,84.24,Baixo,SINTETICO_DEMONSTRACAO
2025-12-01,Pioneiros,16497,44,46.8,78.03,17.75,87.99,Moderado,SINTETICO_DEMONSTRACAO
2024-01-01,Ribeira,17997,49,48.49,121.79,22.45,64.28,Moderado,SINTETICO_DEMONSTRACAO
2024-02-01,Ribeira,17997,56,56.68,153.24,22.68,53.41,Alto,SINTETICO_DEMONSTRACAO
2024-03-01,Ribeira,17997,54,59.75,192.16,25.05,57.88,Alto,SINTETICO_DEMONSTRACAO
2024-04-01,Ribeira,17997,48,47.26,227.42,28.76,63.6,Moderado,SINTETICO_DEMONSTRACAO
2024-05-01,Ribeira,17997,43,41.45,159.35,26.08,53.67,Moderado,SINTETICO_DEMONSTRACAO
